name,address,phone,fax
"Interstate Transport, Inc.","Interstate Transport, Inc. Interstate Corporate Center 324 First Avenue North St. Petersburg, FL 33701",727-822-9999,727-895-1026
"J & A Freight Systems, Inc.","J & A Freight Systems, Inc. 4704 W. Irving Park Road, Suite 8 Chicago, IL 60641 ATTN: ACCOUNTS PAYABLE",773-205-7720,773-205-7725
J & E Truck Leasing Inc.,"J & E Truck Leasing Inc. P.O. BOX 371 Mt. Royal, NJ 08061 ATTN: ACCOUNTS PAYABLE",888-422-8995,856-423-7722
J Rayl Transport,"J Rayl Transport 1016 Triplett Blvd. Akron,OH 44306",800-929-5092,330-784-4040
J.B. Hunt Transport Inc.,"J.B. Hunt Transport Inc. P.O. BOX 1745 Lowell, AR 72745 ATTN: ACCOUNTS PAYABLE",866-827-3397 EX-17143,479-770-2833
Jacob Logistics,"Jacob Logistics PO BOX 144 Fredonia,NY 14063",716-366-0817,716-366-5352
Jacobson Logistics Co. LLC,"Jacobson Logistics Co. LLC P.O. BOX 224 Des Moines, IA 50301 ATTN: ACCOUNTS PAYABLE",662-510-1100,662-510-1116
Janel-Ferrara Group,"Janel-Ferrara Group 1319 North Broad St. Hillside, NJ, 07205",908-810-8184,908-818-8186
"JC Transport Services, Inc.","JC Transport Services, Inc. 3747 Blue Crown Lane Eustis, FL 32736 ATTN: ACCOUNTS PAYABLE",352-357-1713,352-357-1658
Jim Rash Inc.,"Jim Rash Inc. PO BOX 3707 Lake Wales, FL 33859 ATTN: ACCOUNTS PAYABLE",863-679-1640,863-679-7952
"Jones Motor Co,Inc.","Jones Motor Co,Inc. PO Box 137 SPRING CITY PA 19475",727-399-6941,610-495-6516
JRC-Connecticut,"JRC-Connecticut 47 Maple Ave. Thomoaston,CT 06787",800-346-3250,860-283-3069
Just in Time Cargo Logistics,"Just in Time Cargo Logistics 15481 Red Hill Avenue STE A Tustin, CA 92780",555-555-5555,555-555-5555
"Kace Logistics, LLC","Kace Logistics, LLC 862 Will Carleton Road Carleton, MI 48117 ATTN: ACCOUNTS PAYABLE",734-946-8600,734-946-8900
Kelron Logistics,"Kelron Logistics #280-4400 Dominion St. Burnaby, BC V5G4G3",888-453-5766,877-535-7663
"Kirk Trucking Service, Inc.","Kirk Trucking Service, Inc. PO BOX 365 RT 22 @ RT 66 Delmont, PA 15626 ATTN: ACCOUNTS PAYABLE",724-468-8100,724-468-3011
"Knight Brokerage, LLC","Knight Brokerage, LLC 5601 W Buckeye Road Phoenix, AZ 85043 ATTN: ACCOUNTS PAYABLE",866-500-5623,800-316-7685
KTI Inc.,"KTI Inc. 10301 Wayzata Blvd. Minnetonka, MN 55305 ATTN: ACCOUNTS PAYABLE",800-608-0627,952-428-7082
Lake Hamilton Transportation Inc.,"Lake Hamilton Transportation Inc. PO Box 660 Lake Hamilton,FL 33851-0660",863-439-3641,555-555-5555
"Lakeshore Brokerage, Inc.","Lakeshore Brokerage, Inc. 3505 E Royalton Rd. #175 Broadview Hts, OH 44147 ATTN: ACCOUNTS PAYABLE",440-526-4367,440-374-7140
Land-Link Traffic Systems,"Land-Link Traffic Systems 800 Ocean Road PO BOX 1066 Point Pleasant Beach, NJ 08742",(888) 793-3969,(732) 295-8351
Landair Transport Inc.,"Landair Transport Inc. PO BOX 938 Greenville,TN 37744",800-347-6964,423-783-1369
Landstar Ranger,"Landstar Ranger P.O. BOX 19139 Jacksonville, FL 32245-9139 ATTN: BROKERAGE BILLING",888-984-9800,555-555-5555
"Lawrence Transportation Systems,Inc.","Lawrence Transportation Systems,Inc. Attn: CHE' RECZEK PO BOX 7667 ROANOKE, VA  24019 ATTN: ACCOUNTS PAYABLE",540-966-4553,540-966-4573
Leading Edge Logistics,"Leading Edge Logistics 90 S Newton Street Suite 11 Newton Square, PA 19073 ATTN: ACCOUNTS PAYABLE",610-359-1500,248-307-1148
Left Coast Logistics,"Left Coast Logistics, LLC 18801 SW Martinazzi Ave STE 200 Tualatin, OR 97062",877-745-9567,866-576-3783
Leon Cannon,"Leon Cannon P.O. Box 979 Lowell , AR 72745",888-782-5828,888-782-5306
Liberty,"Liberty Logistics Inc. 210 Southern Oaks Lane Simpsonville,SC 29681",800-844-8249,800-844-8317
LJ Rogers,"LJ Rogers Logistics 7723 Oakwood St. Ext Mebane, NC 27302",800-636-4285,812-542-0390
LKC Logistics,"LKC Logistics 739 Fawn Forest Ln York, SC   29745",555-555-5555,555-555-5555
Logistics Management Solutions,"LMS One City Place Suite 415 St. Louis, MO 63141",555-555-5555,555-555-5555
"Load Delivered Logistics, LLC","Load Delivered Logistics, LLC 750 N. Orleans Chicago, IL 60654",312-662-4766,312-662-5966
Load-it-Logistics,"Load-it-Logistics 600 Big Oak Lane Dalton,GA 30721",706-277-9891,706-277-9456
Logisource  DBA Source Transport,"Logisource  DBA Source Transport P.O.BOX 10200 Matthews, NC   28106 ATTN: ACCOUNTS PAYABLE",704-815-1660,555-555-5555
"Logistic Dynamics, Inc.","Logistic Dynamics, Inc. 1140 Wehrle Drive Buffalo, NY 14221 ATTN: ACCOUNTS PAYABLE",626-309-9141,626-309-9166
"Logistics Made Simple,INC.","Logistics Made Simple,INC. 2115 Chapman Rd STE 105 Chattanooga,Tn,37421 ATTN: ACCOUNTS PAYABLE",423-893-5115,423-893-5033
"Logistics Solutions,Inc.","Logistics Solutions,Inc. 1572 HWY 85 North, Ste 618 Fayetville,GA 30214",678-791-6316,678-703-6496
Lynbrooke Logistics,"Lynbrooke Logistics P.O. BOX 660 Bedford, PA 15522-0660 ATTN: ACCOUNTS PAYABLE",814-623-3946,814-623-3947
M-OK Distributions,"M-OK Distributions PO BOX 0939 Lockport,IL 60441",630-850-8500,630-850-7868
M&LTrucking Services Inc.,"M&LTrucking Services Inc. PO BOX 4140 Rome,NY 13442",315-339-2550,315-339-4502
"M2 Logistics, Inc.","M2 Logistics, Inc. 2413 Hazelwood Lane Greenbay, WI 54304 ATTN: ACCOUNTS PAYABLE",303-252-8600,303-252-8605
Mackies Logistics Inc.,"Mackies Logistics Inc. PO BOX 16447 Hattiesburg, MS, 39404",601-582-0246,601-582-0260
Macro Logistics LLC,"Macro Logistics LLC PO Box 2296 Edinburg,TX 78540",956-391-1640,866-684-3596
Magellan Transport Logistics,"Magellan Transport Logistics 2511 St. Johns Bluff Road. Ste. 107 Jacksonville,FL 32246",866-699-9394,866-328-0297
Majestic Transportation Logistics,"Majestic Transportation Logistics 283 Lockhaven #100 Houston,TX 77073",281-869-8031,281-869-8039
Mallory Alexander International Logistics,"Mallory Alexander International Logistics 4294 Swinnea Rd. Memphis,TN 38118",901-367-9400,901-370-4274
March Logistics,"March Logistics PO BOX 246 Mount Royal, NJ 08061 ATTN: ACCOUNTS PAYABLE",800-257-0470,856-415-1518
Mascam Logistics,"Mascam Logistics 498 Calcutta Drive West Columbia,SC 29172",855-520-7251,856-741-2295
Matson America Transportation Svcs.,"Matson America Transportation Svcs. 4040 Embassy Parkway Suite 370 Akron, OH 44333 ATTN: ACCOUNTS PAYABLE",888-647-8782,630-916-4980
"Maverick Transport, Inc.","Maverick Transport, Inc. PO Box 2800 Easton, MD 21601 ATTN: ACCOUNTS PAYABLE",410-820-5595,410-819-3347
"Mayfair Trucking, Inc.","Mayfair Trucking, Inc. 61 Lincoln Highway South Kearny, NJ 07032 ATTN: ACCOUNTS PAYABLE",800-631-4310,973-589-1040
Meadowlark,"Meadowlark PO BOX 50575 Billings, MT 59105",309-222-8258,888-618-0164
Medallion Transport & Logistics LLC,"Medallion Transport & Logistics LLC 132 Joe V Knox Ave Suite 106 Mooresville, NC   28117 ATTN: ACCOUNTS PAYABLE",800-525-0090,516-239-2435
"Mercer Transportation Company, Inc.","Mercer Transportation Company, Inc. PO BOX 35610 Louisville, KY 40232 ATTN: ACCOUNTS PAYABLE",800-643-1262,800-358-5422
"MF SALES, LLC","MF-SALES, LLC 4876 NOBLES POND DRIVE NW CANTON, OH 44718",555-555-5555,555-555-5555
"MGS Logistics, Inc.","MGS Logistics, Inc. P.O. BOX 283 Fayetteville, GA 30214 ATTN: ACCOUNTS PAYABLE",770-460-7878,770-460-1081
Midnite Express Inc.,"Midnite Express Inc. P.O. BOX 695 West Fargo, ND  58078 ATTN: ACCOUNTS PAYABLE",800-456-0249,701-282-0496
Midnite Logistics Services,"Midnite Logistics Services 513 Windy Trail Bethlehem,GA 30620",770-630-4539,770-473-7857
"Mike's Loading Service,Inc.","Mike's Loading Service,Inc. 1802 S. EXPRESSWAY 281 EDINBURG, TX 78542",956-292-2807,956-292-2783
"Miller Logistics,INC","Miller Logistics,INC 4990  570th Ave West Bend ,Ia ,50597 ATTN: ACCOUNTS PAYABLE",888-773-9220,678-730-1320
"MJN Services,Inc.","MJN Services,Inc. 534 East 800 North Orem,UT 84097",865-233-5633,555-555-5555
Mode Transportation,"Mode Transportation 5660 Universal Drive Memphis, TN 38118",832-250-3932,281-354-3884
"Morgan Wood Products, Inc","Morgan Wood Products, Inc PO BOX 177 Powell, OH  43065-0177 ATTN: ACCOUNTS PAYABLE",614-336-4000,614-336-4000
"Mr. Transportation Services, LLC","Mr. Transportation Services, LLC PO BOX 339 Taylor, MI 48180 ATTN: ACCOUNTS PAYABLE",734-946-7031,734-946-7032
"MYLES Enterprises, Inc.","MYLES Enterprises, Inc. PO BOX 2125 Cinnaminson, NJ  08077 ATTN: ACCOUNTS PAYABLE",856-829-8526,856-829-3956
N.E.W.S. Transport,"N.E.W.S. Transport PO BOX 1748 Collierville, TN 38027-1748",800-426-1937,901-221-0420
"National Freight Brokers, Inc.","National Freight Brokers, Inc. P.O. BOX 240585 Charlotte, NC 28224-0585 ATTN: ACCOUNTS PAYABLE",704-552-6448,704-552-6595
National Logistics Services,"National Logistics Services PO BOX 1119 Dunkirk,MD 20754",914-835-1900,914-835-0020
"National Parcel Logistics, Inc.","National Parcel Logistics, Inc. 3770 Zip Industrial Blvd SE - Suite A Atlanta, GA 30354 ATTN: ACCOUNTS PAYABLE",404-856-3620,555-555-5555
"National Traffic Systems, Inc.","National Traffic Systems, Inc. 168 Garber Lane Winchester,VA 22602",540-722-6143,555-555-5555
"NSF-Nationwide Freight Systems, Inc.","Nationwide Freight Systems, Inc. 2580 Northwest Parkway Elgin, IL 60124 ATTN: ACCOUNTS PAYABLE",847-426-2226,847-426-2252
"Nelson Motor Freightways, Inc.","Nelson Motor Freightways, Inc. PO BOX 170270 Miami, FL 33017 ATTN: ACCOUNTS PAYABLE",800-327-5271,305-556-6310
Nelson Trucking Logistics,"Nelson Trucking Logistics 29948 North 975 East Road Manville, IL 61319-9310 ATTN: ACCOUNTS PAYABLE",555-555-5575,815-672-7433
"Network FOB, Inc.","Network FOB, Inc. P.O.BOX   K Two Harbors, MN 55616 ATTN: ACCOUNTS PAYABLE",555-555-5576,651-842-9609
"Nightline Express, Inc.","Nightline Express, Inc. 11140 S Towne Square Dr. Suite 201 St.Louis, MO 63123 ATTN: ACCOUNTS PAYABLE",314-416-1100 X-118,314-416-1660
"Nolan Transportation Group, Inc.","Nolan Transportation Group, Inc. 1517 Johnson Ferry Road Ste 200 Marietta, GA 30062",843-518-5901,555-555-5555
North American Logistics Services,"North American Logistics Services 7550 WEST. 2ND CT HIALEAH, FL 33014",305-455-0640,305-455-0643
NorthEast Logistics Service Inc,"NorthEast Logistics Service Inc PO BOX 959 Mechanicsburg,PA 17055",800-743-4285,540-898-0192
"Northern Freight Service, Inc.","Northern Freight Service, Inc. 8309 Greenway Blvd. #200 Middleton, WI   53562-3536 ATTN: ACCOUNTS PAYABLE",800-383-8688,608-836-4070
Northland Express Transport,"Northland Express Transport 11288 US 31 Grand Haven, MI 49417",800-748-0550,616-846-5300
"Nova Logistics, Inc.","Nova Logistics, Inc. 705 North Whispering Oaks Powell, TN 37849 ATTN: ACCOUNTS PAYABLE",800-310-2594,865-947-2649
NYK LOGISTICS (Americas),"NYK LOGISTICS (Americas) P.O. BOX 3477 Cordova, TN 38088 ATTN: ACCOUNTS PAYABLE",888-777-9955,901-260-8711
OHL,"OHL P.O.BOX 907310 Gainesville, GA 30501 ATTN: ACCOUNTS PAYABLE",877-778-4148,775-355-3920
One Horn Transportation,"One Horn Transportation 576 Valley Rd. #234 Wayne,NJ 07470",973-333-4922,973-692-6696
"One Way Logistics, LTD","One Way Logistics, LTD 4949 St.Rt.66 P.O.BOX 219 Houston, OH 45333 ATTN: ACCOUNTS PAYABLE",937-489-1258,937-295-4000
One Way Trailers,"One Way Trailers PO BOX 27567 Salt Lake City,UT 84127-0567",866-458-2600,801-886-2605
Online Freight Services,"Online Freight Services 2275 Waters Drive Mendota Heights, MN 55120",(651) 468-6868,(651) 468-6869
Open Mile Inc.,"Open Mile Inc. 100 N Washington St. Suite 400 Boston, MA 02114 ATTN: ACCOUNTS PAYABLE",773-729-2226,617-830-8477
Over The Road Logistics,"Over The Road Logistics 626 Vine Street Cincinnati, OH 45202 ATTN: ACCOUNTS PAYABLE",513-381-9933,513-381-9936
Overland Express,"Overland Express 431 Ohio Pike STE 311 Cincinnati, OH 45255",513-528-1158,513-528-8212
Paramount Transportation Logistic Service,"Paramount Transportation Logistics Services, LLC 7290 College Parkway, Suite 200 Fort Myers, FL 33907 ATTN: ACCOUNTS PAYABLE",800-510-9304,937-283-3773
PARTAGE,"PARTAGE 333 N. OAKLEY BLVD SUITE 200 CHICAGO, IL 60612",312-674-7110,555-555-5555
Pathmark Transportation,"Pathmark Transportation 2875 S Mendenhall Suite 3 Memphis, TN   38115 jflaherty@pathmarktrans.com",800-844-1555,866-262-0480
"PAYSTAR Logistics, Inc.","PAYSTAR Logistics, Inc. 11020 Bailey Rd. Suite E Cornelius, NC 28031 ATTN: ACCOUNTS PAYABLE",800-393-2902,866-428-7555
"Pearce Worldwide Logistics, Inc.","Pearce Worldwide Logistics, Inc. PO Box 307 Brentwood, TN 37024",863-439-7691,863-236-3111
"Penray, Inc.","Penray Inc. 537 Northern Pky Ridgewood, NJ 07450 ATTN: ACCOUNTS PAYABLE",201-652-4982,201-652-1199
"Pilgrim Consolidators,Inc","Pilgrim Consolidators,Inc 300 Elm Street Bridgewater, MA 02324",603-898-3331,603-898-9885
Plaza Transportation,"Plaza Transportation PO BOX 98 Centre,AL 35960",256-927-7828,256-927-5584
PLS Logistics Services,"PLS Logistics Services 3120 Unionville Road Bldg# 110 Suite# 100 Cranberry TWP, PA 16066 ATTN: ACCOUNTS PAYABLE",724-709-2215,724-814-5045
Pontiac Logistical Systems,"Pontiac Logistical Systems 1008 S. Jackson Avenue Defiance, OH 43512 ATTN: ACCOUNTS PAYABLE",419-782-8003,419-784-5532
Port City Logistics,"Port City Logistics 21814 Silver Meadow Lane Parker, CO 80138 ATTN: ACCOUNTS PAYABLE",303-841-6527,303-841-9163
"Power Draft , LLP","Power Draft , LLP P.O.BOX 47 Easton, MN 56025 ATTN: ACCOUNTS PAYABLE",507-787-2289,507-787-2294
Power Transportation,Power Transportation 109 N 9th Street Haines City FL 33844,863-421-5626,863-421-5765
"Precision Transportation,Inc.","Precision Transportation,Inc. PO Box 1113 Ridgeland,MS 39158",601-898-5553,601-898-0553
Premier Network Logistics,Premier Network Logistics PO BOX 922 DEER PARK NY 11729,631-392-4124,631-392-4130
Preprint Logistics Management Inc,"Preprint Logistics Management Inc 105 Filley St. Unit A Bloomfield, CT 06002",800-596-2335,555-555-5555
Prime Logistics Solutions,Prime Logistics Solutions FAX 716-626-3083,888-475-5777,800-976-4188
Priority Transport Inc.,"Priority Transport Inc. 415 UPPER DEMUNDS RD DALLAS, PA 18612",570-674-4698,570-674-4697
Productive Transportation,"Productive Transportation 530 Grand Island Blvd Tonawanda, NY 14150 ATTN: ACCOUNTS PAYABLE",716-877-5542,716-877-6331
"Productive Transportation, Inc","Productive Transportation, Inc. 530 Grand Island Blvd Tonawanda, NY 14150 ATTN: ACCOUNTS PAYABLE",716-877-5542,716-877-6331
Professional Traffic,"Professional Traffic PO BOX 113 Agawam, MA 01001",413-781-1028,413-781-1063
Progressive Transportation Services,"Progressive Transportation Services 1151 North Wood Dale Road Wood Dale, IL 60191 ATTN: ACCOUNTS PAYABLE",555-555-5555,555-555-5555
Project Freight Transportation,"Project Freight Transportation 101 Century 21 Drive Jacksonville, Fl 32216",904-722-1935,904-722-1936
QTI Service Corporation,"QTI Service Corporation PO Box 1908 Allen,TX 76013-0034",812-346-9600,214-495-7623
Quaker Transportation Inc.,"Quaker Transportation Inc. PO Box 11388 Lancaster,PA 17605-1388",555-555-5555,555-555-5555
Quest Industries Inc,"Quest Industries Inc. P.O. BOX 247 SAINT JOHNSBURY, VT 05819-0247",802-748-9908,802-748-0825
"R & D Transportation, Inc.","R & D Transportation, Inc. PO Box 494 26 Cedar Ct Bracey, VA 23919 ATTN: ACCOUNTS PAYABLE",434-636-2075,727-289-2255
"R&M Logistics,Inc.","R&M Logistics Inc. 1513 Heritage Lane Florence,SC 29505",877-437-7209,843-665-5755
R&S Freight Brokers,"R&S Freight Brokers PO BOX 421164 Indianapolis, IN 46242",317-269-7775,317-489-3383
R2 Logistics Inc,"R2 Logistics Inc 10739 Deerwood Park Blvd Ste103 Jacksonville, FL 32256",214-451-4671,614-899-6559
Raw Logistics,"Raw Logistics 7400 Metro Blvd Minneapolis,MN 55439",800-431-0729,952-322-7289
"RE Transportation, Inc.","RE Transportation, Inc. P.O. BOX 171346 Memphis, TN 38187 ATTN: ACCOUNTS PAYABLE",859-908-3250,601-653-0504
"Red Bird Trans., Inc.","Red Bird Trans., Inc. 4950 Para Dr. Cincinnati, OH 45237 ATTN: ACCOUNTS PAYABLE",555-555-5555,555-555-5555
Red Tail,"Red Tail Logistics PO BOX 3835 Allentown, PA, 18106-0835",800-770-3629,267-270-3366
Redhawk Global LLC,"Redhawk Global LLC 4157 Arlingate Plaza Columbus, OH 43228 ATTN: ACCOUNTS PAYABLE",866-411-4295,614-487-8550
Redtail Logistics,"Redtail Logistics PO BOX 519 Coopersburg, PA 18036 ATTN: ACCOUNTS PAYABLE",800-770-3629,267-270-3366
"Reed Transport Services, Inc","Reed Transport Services, Inc",813-793-8361,813-793-4800
Rehmann Transportation Corp.,"Rehmann Transportation Corp. PO Box 1028 Mt. Laurel, NJ 08054",800-206-3500,856-778-1502
"RFX,  Inc.","RFX,  Inc. 57 Littlefield Street Avon, MA    02322 ATTN: ACCTS PAYABLE",715-722-0105,515-598-4579
Rite Now Logistics,Rite Now Logistics 5354 Quail Ridge Road Gardendale AL   35071 ATTN: ACCOUNTS PAYABLE,877-885-7353,877-897-0924
"RJS Logistics, Inc.","RJS Logistics, Inc. 2710 Chamber Dr. Suite A Monroe, NC 28110 ATTN: ACCOUNTS PAYABLE",704-282-0626,704-226-1386
"RLD Transportation, Inc.","RLD Transportation, Inc. PO Box 79453 North Dartmouth, MA 02747 ATTN: ACCOUNTS PAYABLE",508-991-6660,508-991-7330
Royal Transportation Services Inc.,"Royal Transportation Services Inc. PO BOX 51574 Philadelphia,PA 19115",215-322-8845,215-322-8846
"RTS REED TRANSPORT SERVICES, INC.","RTS REED TRANSPORT SERVICES, INC. CUSTOMER ID-309204 billpay@reedtransport.net",555-555-5580,813-655-9700
"Ryan Transportation Service, Inc.","Ryan Transportation Service, Inc. P.O. BOX 14648 Shawnee Mission, KS 66285-4648 ATTN: ACCOUNTS PAYABLE",800-383-5231,913-310-2200
Sargent Trucking,"Sargent Trucking 64 Main Street PO Box 600 Mars Hill,ME 04758 Attn:Settlements",555-555-5555,555-555-5555
Satellite,"Satellite Specialized Transportatio 63211 Service Road Bend, OR 97701 ATTN: ACCOUNTS PAYABLE",541-382-0105,541-382-0125
Schneider National,"Schneider National P.O. Box 9569 Louisville, KY 40209 ATTN: ACCOUNTS PAYABLE",800-441-5967 X5924539,555-555-5555
Schott Transportation Inc,"Schott Transportation Inc 1798 Country Rd. 277 Oran, MO 63771",417-759-7100,417-759-7126
Scott Logistics,"Scott Logistics PO BOX 391 Rome, GA 30162",706-234-6828,706-234-1114
"Selectrans, Inc.","Selectrans, Inc. 140 CR 221 Bruce, MS  38915 ATTN: ACCOUNTS PAYABLE",662-983-2033,662-796-2323
Send Transportation Inc.,"Send Transportation Inc. 730 SW Bonnet Way #3100 Bend,OR 97702",888-377-5623,888-558-2529
Shamrock Freight Solutions LLC,Shamrock Freight Solutions LLC 11295 NW 20th Dr Coral Springs Fl 33071,555-555-5555,555-555-5555
"Shapp International Tranding, Inc.","Shapp International Tranding, Inc. PO BOX 893 Woodland Hills, CA 91365-0893 ATTN: ACCOUNTS PAYABLE",818-348-3000,818-757-0000
"Shepherd Transport, LLC.","Shepherd Transport, LLC. PO Box 660 Bedford,PA 15522-0660",814-310-2037,814-623-3947
Shoreline Logistics Inc.,"Shoreline Logistics Inc. P.O. Box 360341 Strongsville, OH 44136 ATTN: ACCOUNTS PAYABLE",440-878-2000,440-878-3755
Showroom,"SHOWROOM TRANSPORT 8567 BLACKFOOT CT. LORTON, VA 22079",800-462-0038,703-690-4644
Simpson Logistics LLC,"Simpson Logistics LLC 4017 Niblick Court Prairie Grove, IL 60012 ATTN: ACCOUNTS PAYABLE",847-594-4826,847-594-7534
SKILS Inc.,"SKILS Inc. P.O. Box 39 Palm Harbor, FL 34682-0039 ATTN: ACCOUNTS PAYABLE",888-777-5457,555-555-5555
Smartway Transportation Inc.,"Smartway Transportation Inc. PO BOX 24387 Overland Park,KS 66283",816-398-7818,555-555-5555
"Solutions Logistics, Inc.","Solutions Logistics, Inc. 110 Centrum Dr. Irmo, SC 29063 ATTN: ACCOUNTS PAYABLE",803-749-0810,888-441-5615
Somerset Logistics,"Somerset Logistics 2159 N Thompson Lane, B-8 Murfreesboro,TN 37129",601-956-1584,601-956-1586
"Southeast Transportation & Logistics, Inc","Southeast Transportation & Logistics, Inc 6138 Nails Creek Road Seymour, TN 37865-3218",865-773-0240,865-223-7433
"Southland Transport Svs of Stuttgart, Inc","Southland Transport Svs of Stuttgart, Inc 1085 Hwy 165 North Stuttgart, AR 72160 ATTN: ACCOUNTS PAYABLE",501-882-0626,501-882-3370
Specialty Freight Services Inc.,"Specialty Freight Services Inc. 2 Poulson Avenue Essington, PA 19029 ATTN: ACCOUNTS PAYABLE",516-792-3354,516-593-2509
SPI International Transportation,"SPI International Transportation PO BOX 960 Blaine,WA 98231-0960",208-922-5771,208-922-5766
SSK Distribution & Consultants Inc.,"SSK Distribution & Consultants Inc. C.P. 1009 Saint-Lazare, QC J7T 2Z7 Tel: (450) 455-6741 ATTN: ACCOUNTS PAYABLE",450-455-6741,555-555-5555
ST Logistics,"ST Logistics 1798 County Highway 277 Oran, MO 63771 ATTN: ACCOUNTS PAYABLE",573-887-3428,573-887-4037
Steel Transport Inc.,"Steel Transport Inc. 8055 Highland Pointe Macedonia, OH 44056 ATTN: ACCOUNTS PAYABLE",330-908-2791,330-468-4950
Stillwater/Berosik Trucking Inc,"Stillwater/Berosik Trucking Inc PO Box 234 Kalispell,MT 59903",406-752-4426,406-752-4931
StoneArch Logistics LLC,"StoneArch Logistics LLC 4301 Highway 7 Suite 160 Minneapolis, MN  55416 ATTN: ACCOUNTS PAYABLE",952-767-0844,952-767-0849
Streamline Logistics,"Streamline Logistics 2330 Lincoln Way #204 Ames,IA 50014",515-232-3066,515-233-3686
"Sunteck Transport Co., Inc.","Sunteck Transport Co., Inc. 6413 Congress Ave Suite 260 Boca Raton, FL 33487 ATTN: ACCOUNTS PAYABLE",888-924-6683,904-899-0790
"Superior Transport Services, LLC","Superior Transport Services, LLC David Guevara Sole MBR 13337 South Street, Unit 205 Cerritos, CA 90703 ATTN: ACCOUNTS PAYABLE",800-829-4933,555-555-5555
Sureway Transportation Company,"Sureway Transportation Company PO BOX 7095 St Cloud,MN 56302-7095",555-555-5555,555-555-5555
"Syfan Logistics, Inc.","Syfan Logistics, Inc. BILLING@SYFANCORP.COM",770-287-8485,866-358-9203
Synergy Worldwide LLC,"Synergy Worldwide LLC 3267 Pearl Road Medina,OH 44256",330-725-5555,330-241-5632
"T & A KARRGO FREIGHT SYSTEMS, INC.","T & A KARRGO FREIGHT SYSTEMS, INC. PO BOX 1745 SAN MARCOS TX 78667",555-555-5555,555-555-5555
"T & T Transportation Services, LLC","T & T Transportation Services, LLC PO BOX 411 Mount Vernon, MO   65712 ATTN: ACCOUNTS PAYABLE",417-345-2749,417-345-4607
"T and F Brokerage, Inc.","T and F Brokerage, Inc. P.O. BOX 1396 Lexington, NC 27293-1396 ATTN: ACCOUNTS PAYABLE",336-798-6976,336-798-6978
Tameme Logistics,"Tameme Logistics 217 Texas Ave Brownsville, TX 78521 ATTN: ACCOUNTS PAYABLE",954-504-0403,555-555-5555
Taylor Logistics Inc.,Taylor Logistics Inc. 801 HWY 3 N NORTHFIELD MN 55057-9401,800-962-5994,888-210-4553
"Tennant Truck Lines, Inc.","Tennant Truck Lines, Inc. 13249 US Highway 150 Orion, IL 61273 ATTN: ACCOUNTS PAYABLE",800-367-9223,309-276-6983
TGT Transportation,"TGT Transportation P.O. BOX 5226 West Babylon, NY 11707 ATTN: ACCOUNTS PAYABLE",516-792-3354,516-593-2509
"Time Logistics, Inc","Time Logistics, Inc. 1116 W. 7th Street PMB-L Columbia, TN  38401 ATTN: ACCOUNTS PAYABLE",888-830-9288,555-555-5555
"Total Coverage, Inc.","Total Coverage, Inc. P.O.Box 305 Wolf Creek, OR 97497 ATTN: ACCOUNTS PAYABLE",541-866-8570,541-866-8574
Total Logistics Corp.,"Total Logistics Corp. 205 Eddy LN Suite 107 Franklin, TN 37064",615-567-6705,615-567-6714
Total Transportation Network,"Total Transportation Network 550 W Frontage Road #3500 Northfield, IL 60093 ATTN: ACCOUNTS PAYABLE",847-881-2804,847-881-2806
TQL-Total Quality Logistics,"TQL-Total Quality Logistics PO BOX 799 Milford, OH 45150",800-580-3101 X-2774,513-947-3231
Track Logistics Group,"Track Logistics Group 271 W. Hester Rd Cottontown,TN 37048 ATTN: ACCOUNTS PAYABLE",407-447-2192,321-206-8632
Traffic Management Inc.,"Traffic Management Inc. 1710 Douglas Dr NO Minneapolis, MN 55422",763-544-3455,763-544-3458
TRANS DYNAMICS,"TRANS DYNAMICS, INC. GA Division P.O. BOX 956968 DULUTH, GA 30095-6968",555-555-5555,555-555-5555
Trans Power Brokerage Division,"Trans Power Brokerage Division PO BOX 1011 Columbus, MS 39703 ATTN: ACCOUNTS PAYABLE",662-690-6196,662-690-6198
Trans-Pro Logistic Inc (Fax invoice),"Trans-Pro Logistics Inc 1320 Route 9 (Ste 3500) Champlain, NY 13919",800-463-7532,866-358-9203
Trans-Pro Logistics Inc.,"Trans-Pro Logistics Inc. 1320 Route 9  (ste 3500) Champlain, NY 12919 ATTN: ACCOUNTS PAYABLE",800-463-7532,866-353-9203
Transcorr,"Transcorr PO BOX 681044 Indianapolis, IN    46268 ATTN: ACCOUNTS PAYABLE",888-778-0773,616-588-5422
"Transit Solutions, Inc.","Transit Solutions, Inc. 1618 Fabricon Blvd. Jeffersonville, IN 47130 ATTN: ACCOUNTS PAYABLE",812-280-0800,812-280-0008
Translink-SMB,"Translink-SMB 1249 Oaklawn Ave. Cranston,RI 02920",800-446-4811,401-463-6729
"Transnet, Inc.","Transnet, Inc. PO BOX 352737 Toledo, OH  43635 ATTN: ACCOUNTS PAYABLE",419-867-4550,419-867-4557
"Transource, LLC","Transource, LLC PO Box 27127 Greenville,SC 29616",888-674-3353,336-369-1015
"Transplace Texas,LP","Transplace Texas,LP PO Box 425 Lowell, AR 72745",555-555-5555,555-555-5555
"Transporation Management Solutions, Inc","Transporation Management Solutions, Inc 18450 Pines Blvd. Ste. 203 Pembroke Pines, FL 33029",877-547-2770,954-433-2900
